Title,FootCategory,Description,Ingredients,Variations,Instructions,ImageUrl,PrepTimeMinutes,CookTimeMinutes,Tags
Pancakes,Dessert,"These pancakes are soft, golden, and lightly sweet, with a smooth batter that cooks into a tender and comforting dessert. They can be enjoyed plain or customised with delicious additions such as poppy seeds, raisins, vanilla, nuts, or grated apple, making each batch easy to adapt to different tastes. Perfect served warm, they make a simple homemade treat that is both satisfying and versatile.",250g Flour; Pinch of Salt; 3tsp Extra Virgin Oil; 1 Egg; 50g Brown Sugar; 300ml Milk (soya / oat),Poppy Seed; Rasins; Vanila; Nuts; Grated Apple,"Mix Brown Sugar, Pinch of Salt and Flour and then add the Egg and Milk. Whisk together until smooth and add the Oil into the mix. Separate the batter into different bowls and add the variations accordingly. Depending on the variations you will want to add the brown sugar to suit the sweetness of the variation. Cook on low heat in pan until golden brown.",,,,
Apple Pie (Hungarian),Dessert,"Apple Pie (Hungarian) is a comforting, home-baked dessert made with layers of buttery pastry and a soft, cinnamon-spiced apple filling. The shredded apples become tender and fragrant as they bake, while the golden crust adds a delicate crumble and sweetness to every bite. Warm, cosy, and full of classic flavour, it is a beautiful dessert to serve on its own or with a dusting of icing sugar.",300g Flour; Pinch of Salt; 120g Butter; ½ Lemon Zest; 50g Powdered Sugar; 6 Medium Apples (Peeled and Shredded); 6g Baking Powder; 1 tsp Cinnamon; 5g Vanilla Essence; 4 tbs Ground Walnut; 2 Eggs (1 for brushing),,"Mix the Flour and Butter until crumbly then add the Egg, Powdered Sugar and Lemon Zest. Knead together. Divide the dough into two balls and allow to rest for 20 minutes. Peels the Apples and core and shred into a mixing bowl. Now add the Sugar, Cinnamon to the bowl and mix well.",,,,
Caramelised Onions,Main,"Rich, sweet, and deeply savoury, cooked slowly until soft, golden, and full of flavour. The natural sweetness of the onions develops as they gently soften, while the balsamic vinegar adds a slight tang and depth that makes them beautifully balanced. Perfect as a topping, side, or addition to many dishes, they bring warmth and richness to every bite.",2 tbsp Olive Oil; 3 Large Onions (red or white); Pinch of Salt; 2 tbsp Soft Brown Sugar; 2 tbsp Balsamic Vinegar; Water,,"Heat the oil in a pan over a low heat, add the onions along with a pinch of salt. Stir occasionally to prevent it sticking to the pan, add Water as necessary. Slow cook for 30-40 minutes until soft and golden brown. Once soft and golden brown, add the Brown Sugar and Balsamic Vinegar and cook for a further 5 minutes then serve.",,,,
Granola Bar,Snack,"Chewy, lightly sweet, and packed with wholesome flavour, combining oats, dates, seeds, and nuts into a satisfying homemade snack. The natural sweetness of the fruit and syrup brings everything together, while the toasted ingredients add texture and a delicious nutty crunch. Perfect for breakfast on the go, lunchboxes, or an afternoon energy boost, they are a simple and versatile treat that can be adapted with your favourite mix-ins.",150g Stoned Dates; 150G Porridge Oats; 100g Low Fat Spread; 4 tbsp. Agave Syrup; 50g Chopped Toasted Hazelnuts; 3 tbsp. Mixed Seeds; 50g Rasins,50g Dried Chopped Apricots; 50g Cranberries; 50g Sultans,"Heat the oven to 170/190 degrees Celsius. And line backing tin with parchment. Blend Dates until smooth in food processor. Option 1) Use a saucepan and add the Dates, Low Fat Spread and Agave Syrup. Options 2) Add the Dates and Agave Syrup to a bowl. Add all the other ingredients and stir until mixed. Spoon mixture into a baking tin. Bake for 15-20 minutes, until golden brown.",,,15-20,
Pancakes (Quinoa),Dessert,"light, tender, and full of fresh flavour, combining cooked quinoa with lemon, vanilla, and blueberries for a wholesome twist on a classic treat. The quinoa adds a soft texture and gentle nuttiness, while the lemon brings brightness and the blueberries add bursts of natural sweetness. Delicious served warm, they make a nourishing dessert or sweet breakfast that feels both comforting and refreshing.",1 Cup of Cooked and Cooled Quinoa; 1/3 Cup of Fresh Lemon Juice; ¾ Cup of Flour; Zest of 1 Lemon; 2 tsp. Baking Powder; ¼ Cup of Unsweetened soya or oat milk; ¼ tsp. Salt; 1 tsp. Vanilla Extract; 2 tbsp. Sugar or Honey; 1 tbsp. Olive Oil; 1 Egg; ¾ Cup of Fresh/Frozen Blueberries,,"Whisk together the Quinao, Flour, Baking Powder and Salt. In a separate bowl, whisk together the Egg, Lemon Juice, Egg, Milk, Honey, Vanilla and Olive Oil. Combine in Ingredients and gently fold in the blueberries. If too thick add more milk. Then cook until golden brown.",,,,
Mince Pies – Mince (part 1),Dessert,"Warm, fragrant filling made with softened apples, dried fruit, almonds, and festive spices, gently simmered until rich, sweet, and full of flavour. The fruit becomes soft and glossy, while the cinnamon, mixed spice, and cloves create a classic Christmas aroma with every spoonful. Finished with a splash of brandy if desired, it makes a comforting and traditional filling that brings warmth and richness to every mince pie.",2 Apples; 3 tbsp. Brandy (optional); 400g Dried Fruit; 50g Almonds (sliced); 1 tsp. Mixed Spice; 2 tsp. Cinnamon; 1/8 tsp. Ground Cloves,,"Wash, Core and chop the Apples and place into a medium pan, add the other Mince ingredients and bring to the boil and then reduce the heat and simmer for 15 minutes. Make sure the apple is mushy. Leave the Mince to cool and work on the dough (see part 2).",,,15,
Mince Pies – Dough (part 2),Dessert,"Soft, crumbly, and lightly sweet, creating a tender case that bakes to a delicate golden finish. The flour and sugar give it a classic sweet pastry texture, while the pecan nut butter adds richness and a subtle nutty flavour that makes it especially comforting. Easy to shape and perfect for holding a spiced fruit filling, it creates a beautifully crisp and flavourful base for homemade mince pies.",125g Flour; 2 tbsp. Sugar; 5 tbsp. Pecan Nut Butter,,"Sift the Flour and add salt into a bowl, stir in the Sugar and add the Pecan Nut Butter and lightly rub in with your finger tips, until it's incorporated and has a breadcrumb texture. Pour 4.5 table spoons of water and bring together with your hands to form a soft dough and add additional water if required. Knead gently to make sure everything is well combined and place in the fridge for 30 minutes. Pre-head the over to 180C. Roll the dough out onto a sheet of greaseproof paper and cut out circles to fit the cake holders. Place the circles into the cake holders and fill with the mince. Add some pastry lids for various designs or just circles, make sure there is a hole on top for the steam to escape. Bake in the oven for 15 minutes and turn the tray around and bake for another 5 minutes.",,30,20,
Carrot & Coriander Soup,Starters,"This soup is smooth, warming, and full of fresh flavour, blending sweet carrots with fragrant coriander for a light yet comforting starter. The onions and potato give the soup a soft, velvety texture, while the coriander adds a gentle warmth and herby freshness that brightens every spoonful. Simple, nourishing, and easy to enjoy, it is a wholesome soup that is perfect served hot on a chilly day.","1 tbsp. Vegetable Oil; Handful of Coriander; 1 Onion, chopped; 1 tsp. Ground Coriander; 1 potato, chopped; 450g carrots, peeled and chopped; 1.2L vegetable or chicken stock",,"Heat 1 tbsp vegetable oil in a large pan, add 1 chopped onion, then fry for 5 mins until softened. Stir in 1 tsp ground coriander and 1 chopped potato, then cook for 1 min. Add the 450g peeled and chopped carrots and 1.2l vegetable or chicken stock, bring to the boil, then reduce the heat. Cover and cook for 20 mins until the carrots are tender. Tip into a food processor with a handful of coriander then blitz until smooth. Return to pan, taste, add salt if necessary, then reheat to serve.",,,26,
Moroccan Couscous (part 1) - Roasted Vegetables,Main,"A vibrant, fragrant dish filled with warm spices, roasted vegetables, and bursts of fresh flavour. The fluffy couscous is infused with cumin, coriander, cinnamon, and turmeric, while chickpeas, herbs, raisins, and pomegranate add sweetness, texture, and colour to every bite. Finished with crunchy almonds and fresh herbs, it is a wholesome and beautifully balanced main that feels both comforting and refreshing.","2 tbsp. Extra Virgin Olive Oil; ½ Red Pepper, cut into small chunks; ½ Red Onion, cut into small chunks; 1 Courgette, cut into small chunks; Salt; 1 cup Grated Carrot; 400g Can Chickpeas (drain & rinsed); ½ cup Pomegranate Seeds; ½ cup fresh Coriander, chopped; ½ cup of fresh Mint; ½ cup fresh Parsley; ½ cup Toasted Flaked Almonds",,"Preheat the oven to 180°C fan. Scatter the red pepper, red onion, and courgette on a baking tray. Drizzle with the olive oil, sprinkle with salt, and bake for 20 minutes until tender and lightly roasted.",,,20,
Moroccan Couscous (part 2) - Couscous,Main,"A vibrant, fragrant dish filled with warm spices, roasted vegetables, and bursts of fresh flavour. The fluffy couscous is infused with cumin, coriander, cinnamon, and turmeric, while chickpeas, herbs, raisins, and pomegranate add sweetness, texture, and colour to every bite. Finished with crunchy almonds and fresh herbs, it is a wholesome and beautifully balanced main that feels both comforting and refreshing.","2 tbsp. Extra Virgin Olive Oil; 1 cup Grated Carrot; ½ Red Pepper, cut into small chunks; 400g Can Chickpeas (drain & rinsed); ½ Red Onion, cut into small chunks; ½ cup Pomegranate Seeds; 1 Courgette, cut into small chunks; ½ cup fresh Coriander, chopped; Salt",,"In a large mixing bowl, whisk together the cumin, coriander, cinnamon, turmeric, black pepper, grated garlic, lemon juice, and olive oil with the boiling water. Stir through the dried couscous and raisins. Cover with cling film and leave to stand for 10 minutes. Once soaked and cooled slightly, fluff up the grains with a fork. Drain the chickpeas and add them to the bowl along with the grated carrot and chopped fresh herbs, reserving some herbs for the top. Stir everything together, then scatter over the almonds, pomegranate, and remaining herbs before serving.",,,10,
